"date","id","title","rubric","subrubric","publikations_status","primaryTenantCode","kanton"
2023-07-03,"ea7002bf-5cca-48d6-8e6c-66e810d3ff70","Neueintragung MWRD KSB Sàrl, Plateau de Diesse","HR","HR01","PUBLISHED","shab","BE"
2023-07-03,"a8f37695-97ed-45eb-b888-135df0142b52","Neueintragung Wechsler & Partner Unternehmensberatung AG, Luzern","HR","HR01","PUBLISHED","shab","LU"
2023-07-03,"e53fffe7-5abd-427a-9da3-02e8e93cb1c2","Neueintragung Pferdepraxis Bearth AG, Trin","HR","HR01","PUBLISHED","shab","GR"
2023-07-03,"9d7abc34-db34-4b67-a926-1e95cab190cc","Neueintragung Sarfati Fablab, Lostallo","HR","HR01","PUBLISHED","shab","GR"
2023-07-03,"6ce30c6f-e709-4d0b-88ab-73fd7fe777d1","Neueintragung EnergieSun Hochstein, Rothrist","HR","HR01","PUBLISHED","shab","AG"
2023-07-03,"642e314f-4fce-4120-a3c1-07e915652a53","Neueintragung Simoes Barros eCommerce, Baden","HR","HR01","PUBLISHED","shab","AG"
2023-07-03,"34ac753d-e6c5-48e3-bd64-2dbb0dab689e","Neueintragung SEDO GLOBAL AG, Luzern","HR","HR01","PUBLISHED","shab","LU"
2023-07-03,"a6000748-cd6c-4154-97a1-6e574cbf25df","Neueintragung ToyFunShop GmbH, Andermatt","HR","HR01","PUBLISHED","shab","UR"
2023-07-03,"635dbc46-095e-4213-8dd7-99323f3e79a8","Neueintragung Le Nails Inhaberin Le, Thun","HR","HR01","PUBLISHED","shab","BE"
2023-07-03,"346946a1-c5a4-43fd-82eb-7dd1cb73d0f4","Neueintragung Bildung & Beratung Dijana Egeric Stamenkovic, Kriens","HR","HR01","PUBLISHED","shab","LU"
2023-07-03,"028f4801-e185-4c6a-a7b6-473be14fa3dc","Neueintragung Gemici Technics, Escholzmatt-Marbach","HR","HR01","PUBLISHED","shab","LU"
2023-07-03,"35a65f9d-b0f4-4e72-9fb9-1fbb6974e913","Neueintragung A.S.R. Bodentechnik Hodzic Horw, Horw","HR","HR01","PUBLISHED","shab","LU"
2023-07-03,"4b45fa2a-a095-4aca-b69e-3e85900220d8","Neueintragung Vonarburg Shiny Car Production, Buchs (ZH)","HR","HR01","PUBLISHED","shab","ZH"
2023-07-03,"28caf243-fee9-49ca-9b3f-b79513670452","Neueintragung Sabanis Reinigungsteam GmbH, Männedorf","HR","HR01","PUBLISHED","shab","ZH"
2023-07-03,"95b46d39-2be6-463e-8a5c-096901686cfa","Neueintragung Die kleine Sportpraxis AG, Zollikofen","HR","HR01","PUBLISHED","shab","BE"
2023-07-03,"0112c69c-a2da-4d07-a94c-07feeac15a77","Neueintragung Sauberlux GmbH, Zürich","HR","HR01","PUBLISHED","shab","ZH"
2023-07-03,"9e16b8cc-188b-4b1c-a56e-4452b22aa7f3","Neueintragung Engineering Management Selection E.M.S. AG, Bern","HR","HR01","PUBLISHED","shab","BE"
2023-07-03,"4175c134-046d-426f-b50c-3ce7d32519b5","Neueintragung Yarn. Content Marketing by Laura Badertscher, Zürich","HR","HR01","PUBLISHED","shab","ZH"
2023-07-03,"48b104a2-4e22-486d-adda-c176b8fe0e57","Neueintragung TH Kopelent, Affoltern am Albis","HR","HR01","PUBLISHED","shab","ZH"
2023-07-03,"88d3961d-7627-4f1f-98ec-c8dbcb305dd3","Neueintragung Contractus Intelligence AG, Zürich","HR","HR01","PUBLISHED","shab","ZH"
2023-07-03,"6189d4c9-2089-423e-9fac-bb915c66bdb9","Neueintragung Erica Invest AG, Zürich","HR","HR01","PUBLISHED","shab","ZH"
2023-07-03,"304f9f0f-67fc-4848-8825-130b26586a81","Neueintragung Advocacia AG, Zürich","HR","HR01","PUBLISHED","shab","ZH"
2023-07-03,"9389cd6c-46d7-4cff-a2ff-64e9ff5f5c28","Neueintragung IGUV, Kloten","HR","HR01","PUBLISHED","shab","ZH"
2023-07-03,"bbf56aaa-1c1e-4c7e-a66e-9d59a5543bc1","Neueintragung LANDAU AG, Wädenswil","HR","HR01","PUBLISHED","shab","ZH"
2023-07-03,"b65ecb1c-d3dd-4dc9-ab70-d8e8a3a988b2","Neueintragung Ibisi Autoteile, Winterthur","HR","HR01","PUBLISHED","shab","ZH"
2023-07-03,"5ee29d79-0182-4e36-b226-d231f09e43db","Neueintragung Idea Quick di Giorgio Vianello, Zürich","HR","HR01","PUBLISHED","shab","ZH"
2023-07-03,"cf0da8d6-5aee-4435-9a1d-00b2a244dff6","Neueintragung Mecuris, Inh. Szulc, Zürich","HR","HR01","PUBLISHED","shab","ZH"
